secondary_substation_unique_id,latitude,longitude
SSEN-2512012065,51.488831,-0.287037
SSEN-2512012080,51.489132,-0.291882
SSEN-2512012080,51.489132,-0.291882
SSEN-2512013010,51.490158,-0.309921
SSEN-2512013010,51.490158,-0.309921
SSEN-2512013050,51.487164,-0.313143
SSEN-2512013060,51.490501,-0.315671
SSEN-2512013060,51.490501,-0.315671
SSEN-2512013060,51.490501,-0.315671
SSEN-2512013070,51.492859,-0.315166
SSEN-2512013070,51.492859,-0.315166
SSEN-2512013080,51.494546,-0.31993
SSEN-2512013080,51.494546,-0.31993
SSEN-2512013080,51.494546,-0.31993
SSEN-2512013080,51.494546,-0.31993
SSEN-2512013090,51.496213,-0.324551
SSEN-2512013090,51.496213,-0.324551
SSEN-2512013100,51.498577,-0.326394
SSEN-2512013100,51.498577,-0.326394
SSEN-2512014020,51.491018,-0.299859
SSEN-2512014030,51.491019,-0.299886
SSEN-2512014060,51.488993,-0.297202
SSEN-2512014060,51.488993,-0.297202
SSEN-2512014060,51.488993,-0.297202
SSEN-2512014060,51.488993,-0.297202
SSEN-2512014070,51.489477,-0.293958
SSEN-2512014070,51.489477,-0.293958
SSEN-2512014120,51.487904,-0.299562
SSEN-2512014120,51.487904,-0.299562
SSEN-2512014120,51.487904,-0.299562
SSEN-2512014120,51.487904,-0.299562
SSEN-2512014130,51.487782,-0.297406
SSEN-2512014130,51.487782,-0.297406
SSEN-2512014130,51.487782,-0.297406
SSEN-2512014140,51.487923,-0.290962
SSEN-2512014140,51.487923,-0.290962
SSEN-2512014140,51.487923,-0.290962
SSEN-2512014150,51.487429,-0.292495
SSEN-2512014160,51.488187,-0.289343
SSEN-2512014190,51.488969,-0.286861
SSEN-2512014190,51.488969,-0.286861
SSEN-2512014190,51.488969,-0.286861
SSEN-2512014200,51.487835,-0.285564
SSEN-2512014200,51.487835,-0.285564
SSEN-2512014210,51.487257,-0.282935
SSEN-2512014210,51.487257,-0.282935
SSEN-2512014210,51.487257,-0.282935
SSEN-2521008120,51.499364,-0.442879
SSEN-2521008120,51.499364,-0.442879
SSEN-2521008140,51.499176,-0.43486
SSEN-2521008140,51.499176,-0.43486
SSEN-2521008140,51.499176,-0.43486
SSEN-2521008140,51.499176,-0.43486
SSEN-2521021040,51.4992,-0.424587
