lv_feeder_unique_id,substation_id
SSEN-252900920004,SSEN-2529009200
SSEN-252900924001,SSEN-2529009240
SSEN-252900924003,SSEN-2529009240
SSEN-252900924004,SSEN-2529009240
SSEN-252900925001,SSEN-2529009250
SSEN-252900925005,SSEN-2529009250
SSEN-252900926001,SSEN-2529009260
SSEN-252900926003,SSEN-2529009260
SSEN-252900927001,SSEN-2529009270
SSEN-252900927002,SSEN-2529009270
SSEN-252900927003,SSEN-2529009270
SSEN-252900929001,SSEN-2529009290
SSEN-252900930001,SSEN-2529009300
SSEN-252900930002,SSEN-2529009300
SSEN-252900930003,SSEN-2529009300
SSEN-252900931001,SSEN-2529009310
SSEN-252900931002,SSEN-2529009310
SSEN-252900931003,SSEN-2529009310
SSEN-252900931004,SSEN-2529009310
SSEN-252900932003,SSEN-2529009320
SSEN-252900933001,SSEN-2529009330
SSEN-252900933002,SSEN-2529009330
SSEN-252900933003,SSEN-2529009330
SSEN-252900934001,SSEN-2529009340
SSEN-252901118001,SSEN-2529011180
SSEN-252901118002,SSEN-2529011180
SSEN-252901118003,SSEN-2529011180
SSEN-252901118004,SSEN-2529011180
SSEN-252901120001,SSEN-2529011200
SSEN-252901120002,SSEN-2529011200
SSEN-252901130001,SSEN-2529011300
SSEN-252901130002,SSEN-2529011300
SSEN-252901130007,SSEN-2529011300
SSEN-252901202001,SSEN-2529012020
SSEN-252901202002,SSEN-2529012020
SSEN-252901202003,SSEN-2529012020
SSEN-252901202004,SSEN-2529012020
SSEN-252901202005,SSEN-2529012020
SSEN-252901202006,SSEN-2529012020
SSEN-252901204001,SSEN-2529012040
SSEN-252901204002,SSEN-2529012040
SSEN-252901204003,SSEN-2529012040
SSEN-252901204004,SSEN-2529012040
SSEN-252901204005,SSEN-2529012040
SSEN-252901206001,SSEN-2529012060
SSEN-252901206002,SSEN-2529012060
SSEN-252901206003,SSEN-2529012060
SSEN-252901206004,SSEN-2529012060
SSEN-252901212001,SSEN-2529012120
SSEN-252901212002,SSEN-2529012120
SSEN-252901213001,SSEN-2529012130
SSEN-252901213002,SSEN-2529012130
SSEN-252901213003,SSEN-2529012130
SSEN-252901213004,SSEN-2529012130
SSEN-252901302001,SSEN-2529013020
SSEN-252901302002,SSEN-2529013020
SSEN-252901502001,SSEN-2529015020
SSEN-252901502004,SSEN-2529015020
SSEN-252901502005,SSEN-2529015020
SSEN-252901504001,SSEN-2529015040
SSEN-252901504002,SSEN-2529015040
SSEN-252901504003,SSEN-2529015040
SSEN-252901504005,SSEN-2529015040
SSEN-252901506002,SSEN-2529015060
SSEN-252901506004,SSEN-2529015060
SSEN-252901508001,SSEN-2529015080
SSEN-252901508002,SSEN-2529015080
SSEN-252901508003,SSEN-2529015080
SSEN-252901510001,SSEN-2529015100
SSEN-252901510002,SSEN-2529015100
SSEN-252901512001,SSEN-2529015120
SSEN-252901512002,SSEN-2529015120
